latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover,inside_us
47.75,-121.25,0.82975,1.0,1.0,0.319,1.0,True
47.75,-120.75,0.692,0.8089999999999999,0.0,0.15,1.0,True
47.75,-120.25,0.5985,0.6970000000000001,0.6000000000000001,0.0,1.0,True
47.75,-119.75,0.40275,0.35250000000000004,0.0,0.0,0.906,True
47.75,-119.25,0.03725,0.0255,0.0,0.0,0.098,True
47.75,-118.75,0.26075,0.021500000000000002,0.0,0.0,1.0,True
47.75,-118.25,0.26375,0.0275,0.0,0.0,1.0,True
47.75,-117.75,0.309,0.118,0.0,0.0,1.0,True
47.75,-117.25,0.47050000000000003,0.441,0.4,0.0,1.0,True
47.75,-116.75,0.48025,0.4605,0.0,0.0,1.0,True
47.75,-116.25,0.498,0.496,0.0,0.0,1.0,True
47.75,-115.75,0.60625,0.6635,1.0,0.098,1.0,True
47.75,-115.25,0.498,0.4765,0.0,0.039,1.0,True
47.75,-114.75,0.46749999999999997,0.417,0.4,0.13,0.906,True
47.75,-114.25,0.2205,0.0195,0.0,0.0,0.843,True
47.75,-113.75,0.30325,0.10250000000000001,0.0,0.051,0.957,True
47.75,-113.25,0.51775,0.494,0.0,0.083,1.0,True
47.75,-112.75,0.71525,0.8185,0.2,0.224,1.0,True
47.75,-112.25,0.25,0.0,0.0,0.0,1.0,True
47.75,-111.75,0.25,0.0,0.0,0.0,1.0,True
47.75,-111.25,0.25,0.0,0.0,0.0,1.0,True
47.75,-110.75,0.04725,0.0,0.0,0.0,0.189,True
47.75,-110.25,0.19025,0.08499999999999999,0.0,0.0,0.591,True
47.75,-109.75,0.0995,0.0,0.0,0.0,0.398,True
47.75,-109.25,0.493,0.486,0.0,0.0,1.0,True
47.75,-108.75,0.27949999999999997,0.059,0.0,0.0,1.0,True
47.75,-108.25,0.13674999999999998,0.1435,0.0,0.0,0.26,True
47.75,-107.75,0.27275,0.0475,0.0,0.0,0.996,True
47.75,-107.25,0.40049999999999997,0.2695,0.2,0.063,1.0,True
47.75,-106.75,0.435,0.3405,0.0,0.059,1.0,True
47.75,-106.25,0.68225,0.76,1.0,0.209,1.0,True
47.75,-105.75,0.7234999999999999,0.7344999999999999,0.4,0.425,1.0,True
47.75,-105.25,0.7164999999999999,0.7005,0.6000000000000001,0.465,1.0,True
47.75,-104.75,0.5569999999999999,0.614,0.0,0.0,1.0,True
47.75,-104.25,0.6132500000000001,0.7265,0.0,0.0,1.0,True
47.75,-103.75,0.558,0.616,1.0,0.0,1.0,True
47.75,-103.25,0.56775,0.669,0.8,0.0,0.933,True
47.75,-102.75,0.5469999999999999,0.608,0.0,0.0,0.972,True
47.75,-102.25,0.67025,0.7895000000000001,0.8,0.122,0.98,True
47.75,-101.75,0.687,0.86,0.0,0.028,1.0,True
47.75,-101.25,0.7302500000000001,0.9605,1.0,0.0,1.0,True
47.75,-100.75,0.9517500000000001,0.9505,0.8,0.906,1.0,True
47.75,-100.25,0.61725,0.7344999999999999,1.0,0.0,1.0,True
47.75,-99.75,0.64475,0.7755000000000001,1.0,0.028,1.0,True
47.75,-99.25,0.622,0.7185,0.6000000000000001,0.181,0.87,True
47.75,-98.75,0.44575,0.3425,0.0,0.098,1.0,True
47.75,-98.25,0.567,0.5609999999999999,0.0,0.146,1.0,True
47.75,-97.75,0.40549999999999997,0.311,0.0,0.0,1.0,True
47.75,-97.25,0.35325,0.2065,0.0,0.0,1.0,True
47.75,-96.75,0.67125,0.8385,0.0,0.008,1.0,True
47.75,-96.25,0.3415,0.183,0.0,0.0,1.0,True
47.75,-95.75,0.29725,0.0945,0.0,0.0,1.0,True
47.75,-95.25,0.45475,0.40950000000000003,0.0,0.0,1.0,True
47.75,-94.75,0.40750000000000003,0.30500000000000005,0.0,0.02,1.0,True
47.75,-94.25,0.499,0.498,0.0,0.0,1.0,True
47.75,-93.75,0.496,0.492,0.0,0.0,1.0,True
47.75,-93.25,0.53525,0.5705,0.0,0.0,1.0,True
47.75,-92.75,0.47925,0.4585,0.0,0.0,1.0,True
47.75,-92.25,0.36125,0.21850000000000003,0.0,0.008,1.0,True
47.75,-91.75,0.5405,0.5730000000000001,0.0,0.016,1.0,True
47.75,-91.25,0.677,0.8520000000000001,0.0,0.004,1.0,True
47.75,-90.75,0.69275,0.87,0.0,0.031,1.0,True
47.25,-123.75,0.67925,0.8585,1.0,0.0,1.0,True
47.25,-123.25,0.5265,0.553,0.0,0.0,1.0,True
47.25,-122.75,0.502,0.504,0.0,0.0,1.0,True
47.25,-122.25,0.38675000000000004,0.2735,0.0,0.0,1.0,True
47.25,-121.75,0.75,1.0,1.0,0.0,1.0,True
47.25,-121.25,0.756,0.8525,1.0,0.319,1.0,True
47.25,-120.75,0.74,0.9505,0.8,0.059,1.0,True
47.25,-120.25,0.806,1.0,1.0,0.224,1.0,True
47.25,-119.75,0.2155,0.0215,0.0,0.0,0.819,True
47.25,-119.25,0.30425,0.21100000000000002,0.0,0.0,0.795,True
47.25,-118.75,0.059,0.0375,0.0,0.0,0.161,True
47.25,-118.25,0.13874999999999998,0.073,0.0,0.0,0.409,True
47.25,-117.75,0.20174999999999998,0.191,0.0,0.0,0.425,True
47.25,-117.25,0.41925,0.4015,0.0,0.0,0.874,True
47.25,-116.75,0.493,0.486,0.0,0.0,1.0,True
47.25,-116.25,0.50875,0.5175,0.0,0.0,1.0,True
47.25,-115.75,0.613,0.7045,1.0,0.043,1.0,True
47.25,-115.25,0.54225,0.5375,0.0,0.094,1.0,True
47.25,-114.75,0.315,0.116,0.0,0.028,1.0,True
47.25,-114.25,0.25,0.0,0.0,0.0,1.0,True
47.25,-113.75,0.3495,0.199,0.0,0.0,1.0,True
47.25,-113.25,0.42125,0.3425,0.0,0.0,1.0,True
47.25,-112.75,0.6555,0.7875000000000001,0.6000000000000001,0.047,1.0,True
47.25,-112.25,0.25,0.0,0.0,0.0,1.0,True
47.25,-111.75,0.25,0.0,0.0,0.0,1.0,True
47.25,-111.25,0.25,0.0,0.0,0.0,1.0,True
47.25,-110.75,0.10925,0.0,0.0,0.0,0.437,True
47.25,-110.25,0.22149999999999997,0.0925,0.0,0.0,0.701,True
47.25,-109.75,0.40825,0.35400000000000004,0.0,0.0,0.925,True
47.25,-109.25,0.571,0.632,1.0,0.02,1.0,True
47.25,-108.75,0.493,0.4585,0.0,0.055,1.0,True
47.25,-108.25,0.256,0.012,0.0,0.0,1.0,True
47.25,-107.75,0.194,0.067,0.0,0.0,0.642,True
47.25,-107.25,0.386,0.276,0.0,0.0,0.992,True
47.25,-106.75,0.38375,0.22599999999999998,0.0,0.083,1.0,True
47.25,-106.25,0.5117499999999999,0.421,0.2,0.217,0.988,True
47.25,-105.75,0.44775,0.39549999999999996,0.0,0.0,1.0,True
47.25,-105.25,0.53525,0.5705,0.0,0.0,1.0,True
47.25,-104.75,0.48724999999999996,0.4745,0.0,0.0,1.0,True
47.25,-104.25,0.59725,0.6945,0.6000000000000001,0.0,1.0,True
47.25,-103.75,0.67425,0.8485,0.8,0.0,1.0,True
47.25,-103.25,0.73425,0.9684999999999999,0.8,0.0,1.0,True
47.25,-102.75,0.6957500000000001,0.9015,0.8,0.0,0.98,True
47.25,-102.25,0.67725,0.8545,0.0,0.0,1.0,True
47.25,-101.75,0.5599999999999999,0.62,0.0,0.0,1.0,True
47.25,-101.25,0.687,0.874,1.0,0.0,1.0,True
47.25,-100.75,0.755,0.9724999999999999,1.0,0.075,1.0,True
47.25,-100.25,0.87975,0.8935,0.6000000000000001,0.732,1.0,True
47.25,-99.75,0.7125,0.7675000000000001,0.2,0.315,1.0,True
47.25,-99.25,0.687,0.75,0.2,0.248,1.0,True
47.25,-98.75,0.54725,0.502,0.4,0.35,0.835,True
47.25,-98.25,0.5845,0.669,0.0,0.0,1.0,True
47.25,-97.75,0.325,0.15,0.0,0.0,1.0,True
47.25,-97.25,0.562,0.624,1.0,0.0,1.0,True
47.25,-96.75,0.70575,0.744,1.0,0.335,1.0,True
47.25,-96.25,0.32675,0.1535,0.0,0.0,1.0,True
47.25,-95.75,0.33275,0.1655,0.0,0.0,1.0,True
47.25,-95.25,0.42525,0.35050000000000003,0.0,0.0,1.0,True
47.25,-94.75,0.4675,0.435,0.0,0.0,1.0,True
47.25,-94.25,0.40549999999999997,0.305,0.0,0.012,1.0,True
47.25,-93.75,0.5137499999999999,0.5275,0.0,0.0,1.0,True
47.25,-93.25,0.5345,0.569,0.0,0.0,1.0,True
47.25,-92.75,0.494,0.488,0.0,0.0,1.0,True
47.25,-92.25,0.49525,0.49050000000000005,0.0,0.0,1.0,True
47.25,-91.75,0.70075,0.9015,1.0,0.0,1.0,True
47.25,-88.25,0.79525,1.0,1.0,0.181,1.0,True
47.25,-69.25,0.96175,0.9724999999999999,0.8,0.902,1.0,True
47.25,-68.25,0.757,1.0,1.0,0.028,1.0,True
46.75,-123.75,0.75,1.0,1.0,0.0,1.0,True
46.75,-123.25,0.7235,0.9470000000000001,1.0,0.0,1.0,True
