latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover,inside_us
47.75,-90.75,0.7404545454545454,1.0,1.0,0.0,1.0,True
47.25,-123.75,0.9061818181818182,1.0,1.0,0.0,1.0,True
47.25,-123.25,0.8986363636363636,1.0,1.0,0.476,1.0,True
47.25,-122.75,0.8757272727272728,1.0,1.0,0.547,1.0,True
47.25,-122.25,0.7376363636363638,1.0,1.0,0.004,1.0,True
47.25,-121.75,0.8521818181818183,1.0,1.0,0.0,1.0,True
47.25,-121.25,0.8808181818181818,1.0,1.0,0.083,1.0,True
47.25,-120.75,0.7722727272727272,0.925,0.8,0.091,1.0,True
47.25,-120.25,0.7644545454545455,1.0,1.0,0.035,1.0,True
47.25,-119.75,0.6782727272727272,0.843,1.0,0.0,1.0,True
47.25,-119.25,0.6152727272727273,0.512,1.0,0.0,1.0,True
47.25,-118.75,0.705,0.862,1.0,0.0,1.0,True
47.25,-118.25,0.6317272727272727,0.551,1.0,0.0,1.0,True
47.25,-117.75,0.7065454545454545,0.898,1.0,0.067,1.0,True
47.25,-117.25,0.7271818181818183,0.969,1.0,0.035,1.0,True
47.25,-116.75,0.7873636363636364,1.0,1.0,0.051,1.0,True
47.25,-116.25,0.8625454545454545,1.0,1.0,0.256,1.0,True
47.25,-115.75,0.9516363636363636,1.0,1.0,0.472,1.0,True
47.25,-115.25,0.8356363636363636,1.0,1.0,0.173,1.0,True
47.25,-114.75,0.8016363636363636,1.0,1.0,0.299,1.0,True
47.25,-114.25,0.7376363636363638,1.0,1.0,0.004,1.0,True
47.25,-113.75,0.8579999999999999,1.0,1.0,0.339,1.0,True
47.25,-113.25,0.8761818181818182,1.0,1.0,0.386,1.0,True
47.25,-112.75,0.9130909090909092,0.965,0.8,0.524,1.0,True
47.25,-112.25,0.7759090909090909,0.906,1.0,0.106,1.0,True
47.25,-111.75,0.82,0.992,0.8,0.0,1.0,True
47.25,-111.25,0.7666363636363637,1.0,1.0,0.0,1.0,True
47.25,-110.75,0.8797272727272727,1.0,1.0,0.0,1.0,True
47.25,-110.25,0.8593636363636363,1.0,1.0,0.0,1.0,True
47.25,-109.75,0.777090909090909,1.0,1.0,0.0,1.0,True
47.25,-109.25,0.8285454545454546,1.0,1.0,0.0,1.0,True
47.25,-108.75,0.762,1.0,1.0,0.0,1.0,True
47.25,-108.25,0.7287272727272728,0.902,1.0,0.0,1.0,True
